conf,count_mae_img,count_bias_img,micro_f1,macro_f1
0.05,3.5859,3.5833,0.1189,0.1516
0.1,0.931,0.9039,0.2426,0.3009
0.15,0.3821,0.2923,0.3104,0.3928
0.2,0.2309,0.0453,0.3322,0.4477
0.25,0.2172,-0.0916,0.3437,0.4748
0.3,0.2504,-0.1881,0.3292,0.4624
0.35,0.3029,-0.2682,0.2812,0.3966
0.4,0.3384,-0.3192,0.2249,0.3248
0.45,0.3631,-0.3517,0.1868,0.2838
0.5,0.3754,-0.3702,0.1513,0.2516
0.55,0.3844,-0.3829,0.1164,0.1828
0.6,0.3937,-0.3935,0.0746,0.113
0.65,0.4007,-0.4007,0.0428,0.0649
0.7,0.4052,-0.4052,0.0219,0.0244
0.75,0.4076,-0.4076,0.0103,0.012
0.8,0.4092,-0.4092,0.0023,0.0027
0.85,0.4097,-0.4097,0.0,0.0
0.9,0.4097,-0.4097,0.0,0.0
