conf,count_mae_img,count_bias_img,micro_f1,macro_f1
0.05,0.4172,0.4033,0.6161,0.5687
0.1,0.218,0.1915,0.7323,0.6595
0.15,0.1501,0.1117,0.787,0.7039
0.2,0.1117,0.0656,0.8207,0.7337
0.25,0.0924,0.0377,0.8381,0.7512
0.3,0.0792,0.0109,0.8534,0.7698
0.35,0.0734,-0.0054,0.8596,0.7773
0.4,0.0727,-0.026,0.8637,0.7791
0.45,0.0751,-0.0428,0.8636,0.7775
0.5,0.0826,-0.0602,0.8584,0.779
0.55,0.0935,-0.0765,0.8473,0.7669
0.6,0.1097,-0.0979,0.8262,0.7361
0.65,0.1303,-0.1233,0.7961,0.6962
0.7,0.1687,-0.165,0.73,0.5947
0.75,0.2335,-0.232,0.5965,0.4249
0.8,0.3424,-0.3423,0.2807,0.2146
0.85,0.4082,-0.4082,0.0072,0.0083
0.9,0.4097,-0.4097,0.0,0.0
