conf,count_mae_img,count_bias_img,micro_f1,macro_f1
0.05,2.1999,2.1975,0.2488,0.3012
0.1,0.5899,0.5708,0.5249,0.5037
0.15,0.2664,0.2204,0.6798,0.5944
0.2,0.161,0.0841,0.758,0.6358
0.25,0.125,0.0081,0.7895,0.6556
0.3,0.1175,-0.0449,0.8009,0.6519
0.35,0.1271,-0.0857,0.7883,0.6344
0.4,0.1436,-0.1207,0.7656,0.6115
0.45,0.1682,-0.1567,0.7253,0.5693
0.5,0.1981,-0.1937,0.6686,0.5103
0.55,0.2373,-0.2355,0.583,0.4185
0.6,0.2861,-0.2854,0.4587,0.325
0.65,0.3338,-0.3332,0.3112,0.2297
0.7,0.3774,-0.3772,0.1466,0.1312
0.75,0.4017,-0.4017,0.038,0.0409
0.8,0.4088,-0.4088,0.004,0.0051
0.85,0.4097,-0.4097,0.0,0.0
0.9,0.4097,-0.4097,0.0,0.0
