conf,count_mae_img,count_bias_img,micro_f1,macro_f1
0.05,4.0024,4.0,0.1051,0.1441
0.1,1.0298,0.9977,0.2232,0.2732
0.15,0.4128,0.3092,0.2818,0.355
0.2,0.2353,0.0209,0.3067,0.4134
0.25,0.2245,-0.1351,0.3064,0.4287
0.3,0.2723,-0.241,0.268,0.388
0.35,0.3242,-0.3099,0.2078,0.3107
0.4,0.3606,-0.3538,0.1547,0.2405
0.45,0.3798,-0.3772,0.114,0.2
0.5,0.3897,-0.3884,0.0883,0.166
0.55,0.3965,-0.3961,0.0624,0.1055
0.6,0.4024,-0.4024,0.035,0.0464
0.65,0.4056,-0.4056,0.0196,0.0218
0.7,0.4076,-0.4076,0.0099,0.0115
0.75,0.4086,-0.4086,0.0054,0.0064
0.8,0.409,-0.409,0.0032,0.0038
0.85,0.4096,-0.4096,0.0005,0.0005
0.9,0.4097,-0.4097,0.0,0.0
