conf,count_mae_img,count_bias_img,micro_f1,macro_f1
0.05,0.4791,0.4708,0.5976,0.5714
0.1,0.2508,0.2362,0.7244,0.6729
0.15,0.1633,0.1439,0.7885,0.7259
0.2,0.1209,0.0947,0.8255,0.7587
0.25,0.0964,0.0622,0.8481,0.7763
0.3,0.0803,0.0388,0.8648,0.7922
0.35,0.0718,0.0206,0.8748,0.8023
0.4,0.0645,0.0026,0.8827,0.8143
0.45,0.0637,-0.0163,0.8845,0.8102
0.5,0.0654,-0.0305,0.885,0.8112
0.55,0.0713,-0.0449,0.8803,0.8058
0.6,0.0811,-0.0626,0.8689,0.784
0.65,0.0981,-0.0864,0.847,0.7485
0.7,0.1359,-0.1289,0.7879,0.6812
0.75,0.2034,-0.2015,0.6601,0.526
0.8,0.3136,-0.3133,0.3792,0.2789
0.85,0.4021,-0.4021,0.0363,0.0364
0.9,0.4097,-0.4097,0.0,0.0
