conf,count_mae_img,count_bias_img,micro_f1,macro_f1
0.05,0.6409,0.6326,0.5267,0.5149
0.1,0.3528,0.3356,0.6554,0.6133
0.15,0.2383,0.2133,0.7253,0.6664
0.2,0.1789,0.1467,0.7697,0.7051
0.25,0.1372,0.0981,0.8035,0.7351
0.3,0.1139,0.066,0.8249,0.7566
0.35,0.0978,0.0393,0.8426,0.7718
0.4,0.0863,0.0177,0.8546,0.7882
0.45,0.0798,-0.002,0.8624,0.7987
0.5,0.0745,-0.0248,0.8683,0.8029
0.55,0.078,-0.0439,0.8667,0.8045
0.6,0.0887,-0.0648,0.8573,0.7885
0.65,0.1047,-0.0903,0.8351,0.7527
0.7,0.1332,-0.1256,0.7918,0.6999
0.75,0.1926,-0.1902,0.6841,0.5571
0.8,0.3094,-0.3092,0.3907,0.3344
0.85,0.4016,-0.4016,0.0389,0.0699
0.9,0.4096,-0.4096,0.0005,0.0058
